timestamp,yhat
2024-07-30 00:00:00+02:00,41.5
2024-07-30 01:00:00+02:00,38.74
2024-07-30 02:00:00+02:00,35.92
2024-07-30 03:00:00+02:00,34.41
2024-07-30 04:00:00+02:00,35.56
2024-07-30 05:00:00+02:00,44.17
2024-07-30 06:00:00+02:00,59.79
2024-07-30 07:00:00+02:00,53.56
2024-07-30 08:00:00+02:00,51.5
2024-07-30 09:00:00+02:00,39.23
2024-07-30 10:00:00+02:00,12.95
2024-07-30 11:00:00+02:00,0.12
2024-07-30 12:00:00+02:00,-0.16
2024-07-30 13:00:00+02:00,-1.46
2024-07-30 14:00:00+02:00,-0.6
2024-07-30 15:00:00+02:00,0.15
2024-07-30 16:00:00+02:00,14.0
2024-07-30 17:00:00+02:00,61.25
2024-07-30 18:00:00+02:00,80.32
2024-07-30 19:00:00+02:00,110.78
2024-07-30 20:00:00+02:00,120.2
2024-07-30 21:00:00+02:00,100.54
2024-07-30 22:00:00+02:00,96.85
2024-07-30 23:00:00+02:00,90.2
