timestamp,yhat
2024-07-30 23:00:00+02:00,90.2
2024-07-31 00:00:00+02:00,65.14
2024-07-31 01:00:00+02:00,60.81
2024-07-31 02:00:00+02:00,55.99
2024-07-31 03:00:00+02:00,56.17
2024-07-31 04:00:00+02:00,56.04
2024-07-31 05:00:00+02:00,70.48
2024-07-31 06:00:00+02:00,72.39
2024-07-31 07:00:00+02:00,79.18
2024-07-31 08:00:00+02:00,76.09
2024-07-31 09:00:00+02:00,57.98
2024-07-31 10:00:00+02:00,37.52
2024-07-31 11:00:00+02:00,7.84
2024-07-31 12:00:00+02:00,1.05
2024-07-31 13:00:00+02:00,-0.03
2024-07-31 14:00:00+02:00,0.17
2024-07-31 15:00:00+02:00,13.27
2024-07-31 16:00:00+02:00,40.99
2024-07-31 17:00:00+02:00,71.64
2024-07-31 18:00:00+02:00,90.81
2024-07-31 19:00:00+02:00,120.67
2024-07-31 20:00:00+02:00,143.6
2024-07-31 21:00:00+02:00,123.39
2024-07-31 22:00:00+02:00,109.05
