timestamp,yhat
2024-08-01 00:00:00+02:00,99.04
2024-08-01 01:00:00+02:00,95.79
2024-08-01 02:00:00+02:00,75.85
2024-08-01 03:00:00+02:00,70.81
2024-08-01 04:00:00+02:00,67.96
2024-08-01 05:00:00+02:00,66.58
2024-08-01 06:00:00+02:00,78.36
2024-08-01 07:00:00+02:00,89.57
2024-08-01 08:00:00+02:00,80.18
2024-08-01 09:00:00+02:00,93.0
2024-08-01 10:00:00+02:00,74.62
2024-08-01 11:00:00+02:00,55.89
2024-08-01 12:00:00+02:00,33.46
2024-08-01 13:00:00+02:00,24.0
2024-08-01 14:00:00+02:00,13.51
2024-08-01 15:00:00+02:00,19.55
2024-08-01 16:00:00+02:00,31.74
2024-08-01 17:00:00+02:00,43.0
2024-08-01 18:00:00+02:00,75.96
2024-08-01 19:00:00+02:00,95.38
2024-08-01 20:00:00+02:00,113.67
2024-08-01 21:00:00+02:00,125.72
2024-08-01 22:00:00+02:00,108.18
2024-08-01 23:00:00+02:00,104.18
