timestamp,yhat
2024-07-29 00:00:00+02:00,60.82
2024-07-29 01:00:00+02:00,61.17
2024-07-29 02:00:00+02:00,57.54
2024-07-29 03:00:00+02:00,46.84
2024-07-29 04:00:00+02:00,39.81
2024-07-29 05:00:00+02:00,48.7
2024-07-29 06:00:00+02:00,40.35
2024-07-29 07:00:00+02:00,34.35
2024-07-29 08:00:00+02:00,25.49
2024-07-29 09:00:00+02:00,4.82
2024-07-29 10:00:00+02:00,0.0
2024-07-29 11:00:00+02:00,-1.99
2024-07-29 12:00:00+02:00,-13.57
2024-07-29 13:00:00+02:00,-35.21
2024-07-29 14:00:00+02:00,-46.43
2024-07-29 15:00:00+02:00,-31.83
2024-07-29 16:00:00+02:00,-11.69
2024-07-29 17:00:00+02:00,-1.35
2024-07-29 18:00:00+02:00,40.33
2024-07-29 19:00:00+02:00,64.15
2024-07-29 20:00:00+02:00,71.54
2024-07-29 21:00:00+02:00,71.12
2024-07-29 22:00:00+02:00,71.89
2024-07-29 23:00:00+02:00,61.74
